Z_Crudo,Z_Filtrado,D_Kalman
0.049101506908151286,0.04913236301056598,0.04850422870362688
0.04913811696256956,0.049134089196167054,0.048519821988057724
0.04913225289648096,0.04913353830626122,0.04851970740171252
0.049176169906823865,0.04914632778643001,0.0485518261812814
0.04919315768502801,0.04916037675600941,0.04860736407811547
0.049106286212959746,0.0491441495930945,0.048524155302405635
0.049180834942573526,0.049155155197938206,0.048556433035868006
0.04914529495202391,0.04915219712416392,0.04853906474969991
0.04922929734523831,0.04917532719048623,0.048595904951237584
0.04914899755024256,0.04916742829841313,0.04858684748659655
0.04920845377197655,0.04917973594048215,0.048593449742362294
0.04918458947393515,0.04918119200051804,0.048577748932809674
0.049114524151279315,0.04916119164574642,0.04852225053753676
0.04915287387545127,0.04915869631465787,0.04853545373389228
0.04917958274207964,0.0491649622428844,0.04859303954611138
0.04918012733292951,0.04916951176989793,0.04857437250712884
0.04912705686888375,0.04915677529959367,0.04853052041304564
0.04912989236539583,0.049148710419334316,0.04852084600736116
0.04913027786701419,0.04914318065363828,0.04851853596494179
0.049170899259461234,0.04915149623538516,0.04858214969312005
0.049169611133726504,0.04915693070488755,0.048563756187695005
0.0491491654080665,0.04915460111584123,0.048543860352789646
0.049090356504118235,0.049135327732324326,0.04849547817426645
0.04912548807169997,0.049132375834137015,0.04854272808005605
0.049085352951649196,0.049118268969390665,0.04849151192807619
0.049040655716763415,0.049094984993602486,0.04844506795461953
0.049153792900447524,0.04911262736565599,0.048515445496120545
0.049202122068908866,0.04913947577663185,0.04856968250833229
0.0491612225351097,0.0491459998041752,0.048588770514241014
0.049219578263312816,0.04916807334191648,0.04860210870893315
0.049196631039529856,0.04917664065120049,0.048588884133727625
0.04912013739656053,0.04915968967480849,0.04852934338637148
0.04920097592544323,0.04917207554999891,0.048572567401551914
0.04918646518779016,0.049176392441336286,0.04860802242332937
0.04915259956597748,0.049169254578728644,0.048558235432951895
0.04920132608985845,0.04917887603206758,0.04858056534024376
0.049155839879674285,0.049171965186349594,0.04855325040397111
0.049174797718503714,0.049172814945995826,0.048559809490080395
0.04914861885946504,0.049165556120036584,0.04857689851603955
0.049112205542058876,0.04914955094664327,0.04852032532929772
0.049191477898650554,0.049162129032245455,0.04856319798225783
0.04921871139660673,0.049179103741553834,0.0485946219791676
0.04918362304818426,0.049180459533542956,0.0485773555599636
0.04920292275422787,0.049187198499748425,0.04862135318131036
0.04918086238418212,0.04918529766507854,0.04858249721767828
0.0492000293521703,0.04918971717120606,0.04858611698799632
0.049139564897373395,0.04917467148905626,0.04854282384956654
0.049177550036120704,0.04917553505317559,0.048559030539582056
0.04909412736255132,0.04915111274598831,0.04853679925256125
0.04915835418069178,0.049153285176399344,0.04854336391221105
